time,temperature
1744977311.678986,37.52220727156025
1744977313.6794574,37.52220727156025
1744977315.6800115,37.52360203187873
1744977317.6806722,37.64848564919345
1744977319.6813524,37.774764026826645
1744977321.6819966,37.774764026826645
1744977323.6825864,37.90101364450801
1744977325.6832879,38.027263262189386
1744977327.683982,38.27970519499715
1744977329.6845744,38.53209004763258
1744977331.685226,38.784418047438905
1744977333.6858587,38.91055373704301
1744977335.686527,39.287515539512036
1744977337.687198,39.5410632761976
1744977339.6879053,40.04521354914694
1744977341.6884809,40.297205474858146
1744977343.689043,40.800330678599884
1744977345.6895971,41.30323810343218
1744977347.6902041,41.6814831999321
1744977349.6908698,42.3097937243889
1744977351.691531,42.81275299089809
1744977353.6920967,43.316887187645314
1744977355.6926882,44.06924131180909
1744977357.6933904,44.69631168766789
1744977359.6939948,45.32446129360538
1744977361.6946707,45.95160238956582
1744977363.6952546,46.70378154232517
1744977365.6957963,47.58079344929396
1744977367.696528,48.45585603566795
1744977369.6975405,49.08293161849343
1744977371.6981838,50.08279085572166
1744977373.69888,50.832756225270955
1744977375.6995034,51.707244866543455
1744977377.7000735,52.58194315824612
1744977379.7006776,53.45410678520161
1744977381.701402,54.452571262850995
1744977383.7020755,55.201219229217564
1744977385.7028577,56.32123029836463
1744977387.7035615,57.31746276023735
1744977389.7041478,58.43695963955505
1744977391.7048345,59.43287394995497
1744977393.7055094,60.30335377505152
1744977395.7060935,61.42140239357116
1744977397.7067544,62.54034650306242
1744977399.7074885,63.6574915500132
1744977401.7081044,64.77560849628009
1744977403.7087557,65.89268641943579
1744977405.709391,67.13283862388067
1744977407.7099993,68.2486202946826
1744977409.710624,69.48885822131511
1744977411.7113104,70.48087567675631
1744977413.7118998,71.84537950336266
1744977415.7131937,72.96042999904422
1744977417.7138338,74.20004155941193
1744977419.714503,75.43825475572264
1744977421.7151818,76.67782746673814
1744977423.7159595,77.91745314709948
1744977425.7165542,79.28183683353703
1744977427.7171419,80.52104847240747
1744977429.7178738,81.76113294586311
1744977431.7186463,83.12482639540033
1744977433.7193956,84.36613808828703
1744977435.72056,85.7312188337919
1744977437.721372,87.09674511379038
1744977439.7222645,88.33856745784635
1744977441.7231433,89.58084083690984
1744977443.7237837,91.1951772697921
1744977445.7246122,92.56299387994382
1744977447.7254026,93.80706084834229
1744977449.726242,95.30141294510899
1744977451.7269971,96.42158997232106
1744977453.7277358,98.16620805305828
1744977455.7286246,99.41319644402546
1744977457.729428,100.9105379520204
1744977459.7304475,102.53319533558403
1744977461.7311466,103.90849901015733
1744977463.7319343,105.15763402394573
1744977465.732754,106.65998856300682
1744977467.733382,108.16218942700074
1744977469.7339528,109.66630379208127
1744977471.7346385,111.17167430585714
1744977473.7374887,112.67764027340472
1744977475.7381806,114.05986419552809
1744977477.7388356,115.56900259556284
1744977479.7394235,117.07877738740672
1744977481.7400591,118.46453389317047
1744977483.7408357,119.97754196633625
1744977485.7416005,121.23940419960232
1744977487.742257,122.6285225716578
1744977489.7429543,124.2703015816607
1744977491.743527,125.78843804322247
1744977493.7441635,127.43526713635552
1744977495.74491,128.9554813764257
1744977497.7455006,130.2238994458166
1744977499.7461476,131.62020697988785
1744977501.7468247,132.890512705751
1744977503.7474236,134.79625150748095
1744977505.748077,135.94146485874802
1744977507.7488973,137.7242800779615
1744977509.749542,139.12690443977573
1744977511.750274,140.27332184401098
1744977513.7510593,141.9330763798435
1744977515.7517588,143.9761584814496
1744977517.7524202,145.1259600709788
1744977519.753084,146.66088210999754
1744977521.7536457,148.19685188949393
1744977523.754264,149.349493596379
1744977525.7549195,151.01540747884872
1744977527.7555473,152.8093362083439
1744977529.756182,154.0931446914119
1744977531.7568328,155.7614177747092
1744977533.757352,156.91743507557976
1744977535.7580593,158.58734018484216
1744977537.7586787,159.87302550089734
1744977539.75922,161.15990535200467
1744977541.7598422,162.96000336108844
1744977543.7603965,164.63359185284273
1744977545.7609823,165.535047032186
1744977547.761618,167.20969691228464
1744977549.7622545,168.88427637160132
1744977551.762809,170.04372618647767
1744977553.7634125,171.59096334010928
1744977555.7640002,173.26759161182162
1744977557.764517,174.42858558702287
1744977559.7651508,176.23355768798544
1744977561.7657545,177.6530919940147
1744977563.7663074,178.9437493759691
1744977565.766949,180.7508932554229
1744977567.7675977,182.17093482246446
1744977569.7682183,183.33216910897266
1744977571.7689207,184.62323836012342
1744977573.7695384,186.04275892837558
1744977575.7701688,187.72117956012792
1744977577.77083,189.2704432433923
1744977579.771446,190.56143044291338
1744977581.7720668,191.72188040806753
1744977583.772768,193.5296553181586
1744977585.773372,195.07769442732743
1744977587.7739043,196.3681148862271
1744977589.7745392,197.91568800219136
1744977591.7751915,199.4629518879732
1744977593.7758226,200.49472455709642
1744977595.7764947,202.17100007590022
1744977597.777134,203.58833242979827
1744977599.777736,205.00529692055895
1744977601.7783875,206.42253879497002
1744977603.779047,207.5817899404128
1744977605.7797081,208.35445874487152
1744977607.780397,209.12699159788187
1744977609.7810798,209.76998492092525
1744977611.7817492,210.41288302337526
1744977613.7823153,210.9276672393849
1744977615.7829604,211.44238534151512
1744977617.7836063,211.95636303371924
1744977619.784219,212.4702726033942
1744977621.7848988,212.85616201517627
1744977623.7856352,213.24201634036368
1744977625.7863202,213.4985578690953
1744977627.7869856,213.8843410634512
1744977629.7876687,214.269417143106
1744977631.7883506,214.52655758141475
1744977633.78903,214.78367963391253
1744977635.7896621,215.040783173984
1744977637.7902956,215.2965302730904
1744977639.7909408,215.55359650974964
1744977641.7915545,215.55359650974964
1744977643.7922063,215.81064385977052
1744977645.7929144,216.06633837138511
1744977647.7935529,216.06633837138511
1744977649.7941241,216.32334767871623
1744977651.7979114,216.32334767871623
1744977653.7984655,216.45117772875392
1744977655.7989945,216.57900777879163
1744977657.7996376,216.57900777879163
1744977659.8001962,216.70683007799707
1744977661.800818,216.83531546821956
1744977663.8013937,216.8346523772025
1744977665.8019156,216.8346523772025
